epoch,accuracy,loss,val_accuracy,val_loss
0,0.595673144,0.672412813,0.595978796,0.664210558
1,0.595639169,0.666261256,0.595978796,0.658942401
2,0.595876932,0.66197449,0.603450596,0.651678383
3,0.604911029,0.6547122,0.626409471,0.638107061
4,0.634696364,0.63613373,0.658334494,0.617940187
5,0.653240025,0.623838723,0.660236359,0.611600876
6,0.683500886,0.600020289,0.675451696,0.6015836
7,0.695897281,0.588480651,0.696101069,0.577842772
8,0.708565414,0.578530073,0.702486098,0.572057784
9,0.710874856,0.571721315,0.708599389,0.56588304
10,0.717395723,0.563990057,0.710772991,0.563234508
11,0.723407149,0.556487143,0.703844607,0.571111739
12,0.728909135,0.547476828,0.724358082,0.549167216
13,0.733120501,0.543689311,0.723814726,0.547900021
14,0.734988451,0.537620604,0.728977025,0.539771676
15,0.739743233,0.532517135,0.733052552,0.530873239
16,0.744294226,0.527210891,0.727754354,0.539341211
17,0.747147143,0.523201525,0.721233547,0.549170732
18,0.749898136,0.522658527,0.734546959,0.540589273
19,0.752241552,0.515519381,0.75057739,0.518518925
